reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOHoAS68pTXgGA8ByuGXWYMhcLxZgZ88DuPiBkiudOn-vEfsVIaV_RGt_7IocKw4o0iSOFJ-KLMO6Sp-izk,Fajar Julianto,https://play-lh.googleusercontent.com/a-/AOh14Gg_giUoqyQDIkroidO2okrLj3mJTAnAbWRIiVp3Dw,"Bukti pelayanan pemerintah kurang bagus ada di apk ini, buat masuk aja error",1,6,1.11,2021-07-07 04:08:11,,,most_relevant,com.deepcovid19
gp:AOqpTOFvyabcceqBFEa9kmWVo5pV2OX7e5HNjW5Bb8PsTXJ85SWrBAnZ_hnPAhGO8Dv44_fPb2s1KZ62R7g-uH8,Wibi Setiyono,https://play-lh.googleusercontent.com/a-/AOh14GjRdaIYmj8ma2rpYwa3tU2G_09Tzxv0qGHzmK9XjA,Aplikasi gagal ko diupload masih banyak kekurangan pemerintah ga mampu bayar programer apa yaak?,1,3,1.11,2021-07-09 09:22:02,,,most_relevant,com.deepcovid19
gp:AOqpTOHYIbBVxDV__D2VJoVJdcZvek542ZnYk7812NHSzJqjGuzeOPWYbd4fEpdYKMTJom3s2WuMjL3vNXOPi8I,Deni DT,https://play-lh.googleusercontent.com/a-/AOh14Gi4banS1RjaEx_YaJ4-SJAo4SSgJt2zCOwYxsMhbbA,"Aplikasi gak jalan... udah diinput semuanya... eh nyangkut di menu ""Tambah Lokasi Rumah""... padahal di peta udah ditandai hingga ada icon Rumah dan tulisan Rumah... eh... balik lagi ke menu ""Tambah Lokasi Rumah""...😁 Saya coba keluar dari aplikasi... pas masuk lagi... eh... ""Tambah Lokasi Rumah"" lagi yang muncul...😄😄😄 Jadi punya pikiran buruk nih sama yang buat aplikasi ini... main² ya 😄😄😄🙏🙏🙏 Beritahu saya agar Aplikasi ini bermanfaat untuk saya, keluarga dan orang disekitar saya..",1,346,1.11,2020-07-05 12:57:49,,,most_relevant,com.deepcovid19
gp:AOqpTOHjlxpJXWabJMLg86XD8PuseDi3q_kgjjGUuI4U3v1TVXqkHj4fKfwhwcXKkw--GuHb0ZnEDZODfAkzmA0,Eduard Simbolon,https://play-lh.googleusercontent.com/a-/AOh14Ghd24zhaih2QvBolt9YFCUSEYx03lCjTsbnlAK07g,Sudah empat hari ini aplikasinya. Tidak bisa di akses tiap saya buka selalu muncul tulisan dapat terhubung ke server.Cek koneksi internet dan pastikan anda dengan internet Padahal selama ini aplikasi Bersatu Lawan Covid 19 (blc) di device saya selalu terkoneksi dengan wifi baik baik saja dan selalu dapat update terbaru namun seperti yang saya katakan diatas tidak bisa di akses mohon penjelasan dari developer yang membuat aplikasi ini.atau tolong di update kembali aplikasi ke versi yang terbaru.,1,249,1.11,2020-09-24 13:27:08,,,most_relevant,com.deepcovid19
gp:AOqpTOGlZSyfRpaHnBqic-Sh2u1oR64WKj5VXKH0IWkvymjEsqUFkx9M_Eg9_HzSSGPW-qUTk0DV1VfGtY8y8qo,Fakhira Syaqilla,https://play-lh.googleusercontent.com/a-/AOh14GhW5PUNHVploWkF-UrU_10aZyNBbynYEe4kQZc0,"emang dengan dirumah aja, kita makan ada yg ngasih, bantuan dari pemerintah aja, sampe sekarang belum ada yg nyampe satu pun, buat anda"" mungkin di rumah semua kebutuhan tercukupi, apa iya rakyat kecil tercukupi, terimakasih",1,204,1.4,2020-05-19 18:07:37,"Hai Kak, terima kasih atas masukan yang telah membantu kami untuk jadi lebih baik.

Kami telah memperbaharui aplikasi untuk menyelesaikan isu design. Silakan mencobanya kembali ya Kak 😊",2020-06-09 03:51:09,most_relevant,com.deepcovid19
gp:AOqpTOGmF2srGVXN9qCZRrDPAUvRRZlE9TbOnAMYZIBrs5BHrvTYvjpm9B1cphNXm4i8PirjK0Pm5B3Iq-8XiWI,Astuti Brendeng,https://play-lh.googleusercontent.com/a/AATXAJwUutV6vq16__7tamgR3uTokgX3CS9egkl8Yr-B=mo,Mksh infor nya Om kami dh vaksin pertama kali kemarin di BSD Tangerang Banten,1,11,1.11,2021-06-10 08:22:17,,,most_relevant,com.deepcovid19
gp:AOqpTOE2zZP7MiqTUqZJZQXUBA041hgH5jjlgde1l5L-7GwR6473hV_7m3PhfULKExHcjJ3EFlQEqN6eUMHlIjo,RISAL S,https://play-lh.googleusercontent.com/a-/AOh14Gg77hM81HQqKKBUqTM1ahJrQP8cYdvIdPmIv5l4,Aplikasinya erorrrrrrrr ga bisa masukk pak bambang,1,0,1.11,2021-08-08 02:27:05,,,most_relevant,com.deepcovid19
gp:AOqpTOGE2-XK0ozjxShbDhdDZ7tPlu6BIaootgEuuHraX9GQ-tzGHNwyg_Bj0gClWfSCnihhRe7oUmoVw_Hsobw,i Chosyi,https://play-lh.googleusercontent.com/a-/AOh14Gh2dhu6ZfSLk-8_5kiPeFgJGzxiFRoxxJONn2OuTA,"Aplikasi ini Idealnya setelah memasukkan NIK langsung muncul nama dan identitas lainnya, tidak perlu isi data.. ini artinya, aplikasi ini blum terintegrasi dengan data kependudukan.. bisa berpeluang data ganda dan data salah... Saya juga install aplikasi Peduli Lindungi, semua zona di sekitar Hijau, tapi pake aplikasi bersatu lawan Covid-19 rumah dan sekitarnya RAWAN... Status yang berbeda bisa membuat kebingungan pengguna..",1,24,,2020-06-11 12:41:00,,,most_relevant,com.deepcovid19
gp:AOqpTOFs5ZGx54pbI_Ln2eXYZ3-eCaisQRpO-vNl0Qqklwu3EaLb_ljIuST3Cc4LcQEavSjuOB6LLOxYmWWDhvE,Radius Aman,https://play-lh.googleusercontent.com/a/AATXAJwgA_Epw7CRW42-Ydq2KyRyUpzaXsNbK56s4Yhm=mo,Aplikasi taik ngabisin anggaran aja. Udah dibilang dr. Indro virus tuh gak usah dilebay-lebaykan amat. Ini malah bikin aplikasi gak guna segala yang tujuannya enggak ada selain hambur-hamburkan anggaran negara. Dan gilanya lagi udah jelas kerjanya gak guna kek bikin aplikasi taik gini malah dapat gaji.,1,142,1.11,2020-10-04 07:18:17,,,most_relevant,com.deepcovid19
gp:AOqpTOE4Zdvi3IWAlVmMJoL3CQlgy5givYl_9EqKryQcIVB00bmOi8Qo_hhOTlh9sjPP40GFiVM2NWn0ncwmCJY,Rea Reo,https://play-lh.googleusercontent.com/a/AATXAJwNdlQu8JoY5P3N5N9tuNNUeXIakNHlJtQotedh=mo,BUKTI NYATA COVID TIDAK PERNAH ADA ADALAH PASIEN RUMAH SAKIT JIWA. PASIEN RSJ TIDAK MENINGGAL KARENA COVID. KARENA MEREKA TIDAK MENGENAL COVID. YANG MEREKA KENAL ADALAH MASA LALUNYA YANG BELUM TERWUJUD. MAKA FOKUS MASA DEPAN MU. JALANI HARI SEPERTI BIASA KARENA COVID TIDAK PERNAH ADA.,1,114,1.11,2020-10-10 00:16:28,,,most_relevant,com.deepcovid19
